ID	company_code	vendor_group	organization_number	country_code	street	postal_code	state_province	city	phone_number	email	method_of_payment
1	010	VENDOR	123456789	CAN	123 33 ST	A1B2C3	AB	Edmonton	111-234-1234	test1@test1.com	CHECK
2	012	VENDOR	123456789	CAN	123 33 ST	A1B2C3	AB	Calgary	222-123-9875	test1@test1.com	CHECK
3	014	VENDOR	123456789	CAN	123 33 ST	A1B2C3	AB	Red Deer	333-456-7894	test1@test1.com	CHECK
4	010	VENDOR	123456789	USA	PO BOX 1111	79711	TX	Edmonton	111-234-1234	test1@test1.com	CHECK
5	012	VENDOR	123456789	USA	PO BOX 1111	79711	TX	Calgary	222-123-9875	test1@test1.com	CHECK
6	014	VENDOR	123456789	USA	PO BOX 1111	79711	TX	Red Deer	333-456-7894	test1@test1.com	CHECK
7	010	VENDOR	123456789	CAN	123 33 ST	A1B2C3	AB	Edmonton	111-234-1234	test1@test1.com	EFT
8	012	VENDOR	123456789	CAN	123 33 ST	A1B2C3	AB	Calgary	222-123-9875	test1@test1.com	EFT
9	014	VENDOR	123456789	CAN	123 33 ST	A1B2C3	AB	Red Deer	333-456-7894	test1@test1.com	EFT
10	010	VENDOR	123456789	USA	PO BOX 1111	79711	TX	Edmonton	111-234-1234	test1@test1.com	EFT
11	012	VENDOR	123456789	USA	PO BOX 1111	79711	TX	Calgary	222-123-9875	test1@test1.com	EFT
12	014	VENDOR	123456789	USA	PO BOX 1111	79711	TX	Red Deer	333-456-7894	test1@test1.com	EFT
